Date,Equity,Cash
2021-02-03,1626474.7611379724,666.2511379723001
2021-02-04,1650784.6411379725,666.2511379723001
2021-02-05,1689809.5811379724,666.2511379723001
2021-02-08,1726014.8011379724,666.2511379723001
2021-02-09,1737377.5311379726,666.2511379723001
2021-02-10,1754009.8811379722,666.2511379723001
2021-02-11,1740955.9551379723,77928.4251379723
2021-02-12,1745741.3351379724,77928.4251379723
2021-02-16,1791009.8151379724,77928.4251379723
2021-02-17,1806430.3851379722,77928.4251379723
2021-02-18,1762394.965137972,77928.4251379723
2021-02-19,1835879.005137972,77928.4251379723
2021-02-22,1873767.3951379724,77928.4251379723
2021-02-23,1869110.925137972,77928.4251379723
2021-02-24,1909526.8651379722,77928.4251379723
2021-02-25,1858328.4772379722,787.8672379722993
2021-02-26,1839977.9372379724,787.8672379722993
2021-03-01,1918668.1872379722,787.8672379722993
2021-03-02,1911911.797237972,787.8672379722993
2021-03-03,1895898.6172379723,787.8672379722993
2021-03-04,1867686.8063379726,69934.50633797231
2021-03-05,1948576.0963379724,69934.50633797231
2021-03-08,1959405.3463379722,69934.50633797231
2021-03-09,1944220.2563379724,69934.50633797231
2021-03-10,1963956.0063379724,69934.50633797231
2021-03-11,2025093.8843379724,709.91433797231
2021-03-12,2035362.4243379724,709.91433797231
2021-03-15,2067529.3243379723,709.91433797231
2021-03-16,1989541.5743379726,709.91433797231
2021-03-17,2014458.2443379725,709.91433797231
2021-03-18,1981192.8543379724,709.91433797231
2021-03-19,1980066.2643379725,709.91433797231
2021-03-22,1951644.3543379724,709.91433797231
2021-03-23,1840722.6743379724,709.91433797231
2021-03-24,1827418.3043379723,709.91433797231
2021-03-25,1855507.1355379724,672.2655379723146
2021-03-26,1898963.6255379722,672.2655379723146
2021-03-29,1831673.0355379723,672.2655379723146
2021-03-30,1873023.0955379724,672.2655379723146
2021-03-31,1883721.6155379724,672.2655379723146
2021-04-01,1932866.5379379722,977.3879379723076
2021-04-05,1955142.1979379721,977.3879379723076
2021-04-06,1956782.9979379722,977.3879379723076
2021-04-07,1946718.4179379724,977.3879379723076
2021-04-08,1930937.5016379722,2277.6016379723296
2021-04-09,1954204.5516379725,2277.6016379723296
2021-04-12,1962485.7216379726,2277.6016379723296
2021-04-13,1931238.7916379722,2277.6016379723296
2021-04-14,1959500.1316379723,2277.6016379723296
2021-04-15,1986786.5147379725,36.07473797228886
2021-04-16,1968022.2747379725,36.07473797228886
2021-04-19,1953423.9447379722,36.07473797228886
2021-04-20,1881037.9747379723,36.07473797228886
2021-04-21,1919851.5747379726,36.07473797228886
2021-04-22,1902734.9747379723,36.07473797228886
2021-04-23,1949734.4447379725,36.07473797228886
2021-04-26,1959597.064737972,36.07473797228886
2021-04-27,1987260.7647379723,36.07473797228886
2021-04-28,2063102.8047379723,36.07473797228886
2021-04-29,2035204.696237972,17.306237972225063
2021-04-30,2003040.6262379726,17.306237972225063
2021-05-03,2031638.6462379722,17.306237972225063
2021-05-04,1989727.3562379726,17.306237972225063
2021-05-05,2027466.0762379724,17.306237972225063
2021-05-06,2016633.9562379722,17.306237972225063
2021-05-07,2084322.4162379722,17.306237972225063
2021-05-10,2053792.0862379721,17.306237972225063
2021-05-11,2020700.5362379723,17.306237972225063
2021-05-12,1947609.7262379723,17.306237972225063
2021-05-13,1964606.1269379721,9216.466937972174
2021-05-14,2012025.9669379722,9216.466937972174
2021-05-17,2035970.6869379722,9216.466937972174
2021-05-18,1993989.2769379723,9216.466937972174
2021-05-19,1949824.4669379722,9216.466937972174
2021-05-20,1956636.1269379724,9216.466937972174
2021-05-21,1946789.166937972,9216.466937972174
2021-05-24,1967022.306937972,9216.466937972174
2021-05-25,1938623.0869379723,9216.466937972174
2021-05-26,1964352.6469379724,9216.466937972174
2021-05-27,1946858.985537972,99.30553797242464
2021-05-28,1946326.7655379723,99.30553797242464
2021-06-01,1989707.1855379723,99.30553797242464
2021-06-02,1951772.0355379723,99.30553797242464
2021-06-03,1952271.3401379725,1054.3801379724318
2021-06-04,1970519.8401379725,1054.3801379724318
2021-06-07,1965624.5901379725,1054.3801379724318
2021-06-08,1979637.9901379724,1054.3801379724318
2021-06-09,1943211.4001379726,1054.3801379724318
2021-06-10,1909620.5051379725,1.0351379724452272
2021-06-11,1918618.0351379723,1.0351379724452272
2021-06-14,1880112.8851379724,1.0351379724452272
